datetime,headline,ticker,sentiment
1/16/2020 5:25,$MMM fell on hard times but could be set to rebound soon.  ,MMM,0
1/11/2020 6:43,Wolfe Research Upgrades 3M $MMM to ¡§Peer Perform¡¨ ,MMM,1
1/9/2020 9:37,3M $MMM Upgraded to ¡§Peer Perform¡¨ by Wolfe Research  #stocks,MMM,1
1/8/2020 17:01,$MMM #insideday follow up as it also opened up with a nice candle that closed just over the prior day's high and th¡K ,MMM,1
1/8/2020 7:44,$MMM is best #dividend #stock out there and down 40% in 2019 $XLI go go please ,MMM,0
1/6/2020 15:54,$MMM - 3M: The Fallen Dividend King Will Be Back. Read more and sign up for updates:  #trading #economy #investing,MMM,1
1/2/2020 14:35,$MMMcelebrates New Year with 7 month high close on volume up above long-term support/resistance off 5 day flag #3M¡K ,MMM,1
1/2/2020 10:13,$MMM above 180 baby is going higher ,MMM,1
12/28/2019 15:04,"$MMMhasn't really done much this year, but it looks like a series of higher highs forming with the recent close ab¡K ",MMM,1
12/27/2019 0:28,3M $MMM Rating Increased to Neutral at JPMorgan Chase & Co. ,MMM,1
12/25/2019 1:14,3M $MMM Stock Rating Upgraded by JPMorgan Chase & Co. ,MMM,1
12/24/2019 5:01,3M $MMM Upgraded to Neutral by JPMorgan Chase & Co. ,MMM,1
12/23/2019 15:03,$MMM higher higher in move above both long term support/resistance line & 200MA on heavy volume in 2nd day of break¡K ,MMM,1
12/23/2019 13:51,"Highlight: $MMM ""is one of the best-performing Dow stocks,"" @scottgamm says, ""after JP Morgan upgraded the stock to¡K ",MMM,1
12/23/2019 12:52,#cina tairff cut will help $MMM ,MMM,0
12/23/2019 12:27,$MMM gets upgrade from TUSA #JPM  ,MMM,1
12/23/2019 9:36,"3M upgrade, Valeritas downgrades among today's top calls $MMM $ROK $RC $VLRX $MITO  ",MMM,0
12/23/2019 7:31,JPMorgan's Tusa Upgrades 3M On Neutral On 'More Stable' 2020 Earnings $MMM ,MMM,1
12/23/2019 5:34,Trading Ideas: $MMM Bullish upgrade from JP Morgans Tusa  ?? FREE trade-of-week via ?¡K ,MMM,1
12/23/2019 5:39,3M $MMM Upgraded to ¡§Neutral¡¨ at JPMorgan Chase & Co.  #stocks,MMM,1
12/23/2019 5:08,JPMorgan's Tusa upgrades 3M on Neutral on 'more stable' 2020 earnings $MMM ,MMM,1
12/23/2019 4:48,"???? $MMM UPGRADED TO NEUTRAL AT JPM, $150 PT",MMM,1
12/23/2019 4:36,$MMM up $6 since casually mentioning it should be pumped last Wednesday lolStill looks good - upgraded this AM (of course),MMM,1
12/16/2019 3:50,3M $MMM Cut to Sell at UBS Group ,MMM,0
12/15/2019 6:36,3M $MMM Cut to ¡§Sell¡¨ at UBS Group ,MMM,0
12/15/2019 1:21,The industry average ROE is 10.96%. $MMM outperforms 98% of its industry peers.  ,MMM,1
12/14/2019 7:05,3M $MMM Lowered to Sell at UBS Group ,MMM,0
12/13/2019 7:06,3M $MMM Upgraded by Zacks Investment Research to Hold ,MMM,1
12/13/2019 7:05,3M $MMM Raised to ¡§Hold¡¨ at Zacks Investment Research  #stocks,MMM,1
12/13/2019 4:38,3M $MMM Downgraded to ¡§Neutral¡¨ at Citigroup   #markets,MMM,0
12/13/2019 4:15,3M $MMM Downgraded to ¡§Neutral¡¨ at Citigroup ,MMM,0
12/12/2019 9:04,The industry average ROA is -8.10%. $MMM outperforms 91% of its industry peers.  ,MMM,1
12/12/2019 6:24,"$MMM UBS analyst Markus Mittermaier downgraded 3M to Sell from Neutral with a price target of $160, down from $180.¡K ",MMM,0
12/12/2019 5:52,3M $MMM Downgraded by UBS Group to ¡§Sell¡¨  #stocks,MMM,0
12/9/2019 6:44,$MMM Citi analyst Andrew Kaplowitz downgraded 3M to Neutral from Buy with an unchanged price target of $180.,MMM,0
12/9/2019 5:58,$MMM - 3M slips 1% as Citi downgrades stock ,MMM,0
12/9/2019 5:52,3M $MMM Downgraded to Neutral at Citigroup  #stocks,MMM,0
12/9/2019 4:54,???? $MMM DOWNGRADED TO NEUTRAL AT CITI,MMM,0
12/6/2019 8:43,3M higher after Bloomberg says running auction for drug delivery unit $MMM ,MMM,1
12/6/2019 2:48,"3M Co $MMM EVP Sells $1,135,654.11 in Stock ",MMM,0
12/5/2019 2:43,"Julie L. Bushman Sells 6,879 Shares of 3M Co $MMM Stock ",MMM,0
12/4/2019 7:20,3M $MMM PT Raised to $176.00 ,MMM,1
12/4/2019 5:06,"3M Co $MMM EVP Julie L. Bushman Sells 6,879 Shares  #stocks",MMM,0
12/3/2019 15:53,"3M Co $MMM EVP Sells $1,135,654.11 in Stock   #markets",MMM,0
12/3/2019 15:49,"3M Co $MMM EVP Sells $1,135,654.11 in Stock  #stocks",MMM,0
11/18/2019 1:18,$MMM - 3M Company's 3.50% Dividend Yield Looks Attractive. Sign up for updates on Seeking Alpha!¡K ,MMM,1
11/17/2019 4:54,"3M Co $MMM SVP Ty R. Silberhorn Sells 1,634 Shares  #stocks",MMM,0
11/17/2019 4:50,"3M Co $MMM SVP Sells $278,956.48 in Stock ",MMM,0
11/14/2019 23:43,Recent Analysts¡¦ Ratings Updates for 3M $MMM  #stocks,MMM,1
11/13/2019 22:00,3M Co $MMM Declares Quarterly Dividend of $1.44  #stocks,MMM,1
11/13/2019 20:34,3M Co Declares Quarterly Dividend of $1.44 $MMM ,MMM,1
11/13/2019 20:30,3M Co $MMM Declares $1.44 Quarterly Dividend ,MMM,1
11/13/2019 3:45,$MMM - 3M declares $1.44 dividend ,MMM,1
11/11/2019 21:35,$MMM - 3M: A Solid Opportunity For Dividend Growth Investors. Get more updates here:  ,MMM,1
11/6/2019 10:35,"Insider Selling: 3M Co $MMM EVP Sells 3,362 Shares of Stock  #stocks",MMM,0
11/6/2019 3:43,$MMM $IBM:The Best Dividend Stocks To Buy In November:,MMM,1
10/30/2019 0:31,3M $MMM PT Lowered to $157.00 ,MMM,0
10/29/2019 7:32,Barclays Trims 3M $MMM Target Price to $157.00  #stocks,MMM,0
10/29/2019 1:42,Q4 2019 EPS Estimates for 3M Co $MMM Cut by William Blair   #markets,MMM,0
