"Item","POS","Aff_Score","Neg_Score"
"'em","PR",0.379542372881356,0.53341935483871
"'n","CC",1.41317647058824,1.19991666666667
"'n handle","",2.839,2.941
"'s a","",-0.0230769230769231,-0.0136153846153846
"'s abc","",2.26166666666667,2.3
"'s act","",2.403,2.443
"'s again","",-0.156285714285714,-0.0709333333333334
"'s all","",1.04278571428571,1.17278571428571
"'s and","",-0.154545454545455,-0.147950617283951
"'s area","",-1.64507142857143,-1.61935714285714
"'s article","",2.637,1.72425
"'s be","",0.149075,0.194917355371901
"'s big","",2.56572972972973,2.60562162162162
"'s but","",-0.0878181818181819,-0.0878181818181819
"'s by","",-0.513333333333334,-0.573533333333334
"'s call","",2.222,2.263
"'s chart","",-0.483568627450981,-0.447764705882353
"'s close","",-0.399820512820512,-0.393481481481482
"'s closing","",-1.4178,-1.3932
"'s come","",-0.549894736842105,-0.646363636363637
"'s cont","",1.9,1.941
"'s continue","",0.994657142857143,1.03008571428571
"'s do","",0.875608695652174,0.916666666666667
"'s drop","",-1.09491666666667,-1.07158333333333
"'s first","",0.466266666666667,0.500933333333333
"'s for","",-0.138368421052631,-0.112894736842105
"'s from","",-0.228823529411765,-0.302333333333333
"'s game","",0.19,0.23
"'s gap","",-0.2140625,-0.233666666666666
"'s get","",0.9617,0.793128571428572
"'s go","",0.601015384615385,0.633184615384616
"'s hammer","",-1.50372727272727,-1.47763636363636
"'s have","",-0.10940625,-0.0691875
"'s hi","",1.13471428571429,1.2656
"'s higher","",3.445,3.485
"'s hold","",1.22733333333333,0.674625
"'s hope","",1.56454545454545,1.60181818181818
"'s I","",-0.191684210526316,-0.140571428571429
"'s if","",0.6975,0.7335
"'s it","",-0.0012,0.0968
"'s largest","",0.8476,0.883133333333334
"'s latest","",-0.040909090909091,-0.0336363636363637
"'s look","",0.260217391304348,0.355
"'s make","",2.485,2.526
"'s market","",-0.313214285714286,-0.235333333333333
"'s my","",-0.225,-0.211046511627907
"'s new","",1.55538461538462,1.63476923076923
"'s news","",1.04278571428571,1.27125
"'s next","",0.2625,0.296666666666667
"'s not","",0.716407407407407,0.716407407407407
"'s now","",-0.365818181818182,-0.265333333333333
"'s num","",-0.0583220338983052,-0.0493416666666666
"'s number","",-0.1422,-0.1422
