,AGE07,EDCL07,MARRIED07,KIDS07,LIFECL07,OCCAT107,INCOME07,RISK07,WSAVED07,SPENDMOR07,NETWORTH07,TrueRiskTol
0,47,2,1,0,2,1,56443.744181,3,1,5,352641.7113,6.9474386945058875
1,47,2,1,0,2,1,56443.744181,3,1,5,340525.21881,6.22315796729084
2,47,2,1,0,2,1,56443.744181,3,1,5,348696.08426,6.676708619334256
3,47,2,1,0,2,1,56443.744181,3,1,5,351802.8772,6.286853691736365
4,47,2,1,0,2,1,56443.744181,3,1,5,358958.85696,6.177016387618512
15,61,3,1,1,5,1,172526.16146,2,3,3,6098634.5526,1.1334190032310274
16,61,3,1,1,5,1,173591.13776,2,3,3,6108990.5291,1.131978782774573
17,61,3,1,1,5,1,173591.13776,2,3,3,6114686.3161,1.131978782774573
18,61,3,1,1,5,1,173591.13776,2,3,3,6103812.5408,1.1350959322091896
19,61,3,1,1,5,1,173591.13776,2,3,3,6116239.7126,1.131930994264407
40,65,4,1,0,6,3,55378.767875,3,3,1,1024620.3135,0.6219002720400262
41,65,4,1,0,6,3,55378.767875,3,3,1,2091285.8916,0.6219002720400262
42,65,4,1,0,6,3,54313.79157,3,3,1,1449215.3494,0.6211282995954598
43,65,4,1,0,6,3,55378.767875,3,3,1,1894418.7786,0.6230114865654521
44,65,4,1,0,6,3,54313.79157,3,3,1,1677046.8321,0.6211282995954598
70,43,2,1,2,3,2,26624.407632,4,1,5,173271.02057,14.924390552193264
71,43,2,1,2,3,2,26624.407632,4,1,5,94581.133246,14.923955893688968
72,43,2,1,2,3,2,26624.407632,4,1,5,105351.34879,14.923955893688968
73,43,2,1,2,3,2,26624.407632,4,1,5,211163.53854,14.924390552193264
74,43,2,1,2,3,2,26624.407632,4,1,5,72916.430438,14.923955893688968
95,69,4,1,0,5,2,1042611.8029,3,3,2,25066641.084,0.6562522321935874
96,69,4,1,0,5,2,1052196.5896,3,3,2,24531237.1,0.6567550573145285
97,69,4,1,0,5,2,1088405.784,3,3,2,25657967.342,0.6588765721625952
98,69,4,1,0,5,2,1039416.874,3,3,2,24079716.525,0.6560233878589496
99,69,4,1,0,5,2,1046871.7081,3,3,2,26288646.31,0.6564961092048065
110,44,4,1,0,2,1,150161.65905,3,3,4,275572.53429,54.58471757112531
111,44,4,1,0,2,1,150161.65905,3,3,4,277643.72959,54.764307527169294
112,44,4,1,0,2,1,150161.65905,3,3,4,275572.53429,54.764307527169294
113,44,4,1,0,2,1,150161.65905,3,3,4,275572.53429,54.764307527169294
114,44,4,1,0,2,1,150161.65905,3,3,4,277643.72959,54.58471757112531
122,39,4,1,2,3,1,130992.08555,2,1,5,197074.23253,32.54570513436867
124,39,4,1,2,3,1,130992.08555,2,1,5,203702.05748,32.17474351631037
145,46,4,1,2,3,1,227904.92933,2,3,4,436918.64794,16.812929262564346
146,46,4,1,2,3,1,227904.92933,2,3,4,465501.14304,16.812929262564346
147,46,4,1,2,3,1,227904.92933,2,3,4,444789.19007,16.812929262564346
148,46,4,1,2,3,1,227904.92933,2,3,4,433501.1757,16.812929262564346
149,46,4,1,2,3,1,227904.92933,2,3,4,440646.79948,16.812929262564346
165,67,4,1,0,6,3,303518.24701,3,3,5,20967745.591,0.8487979858264256
166,67,4,1,0,6,3,303518.24701,3,3,5,20966709.993,0.8487979858264256
167,67,4,1,0,6,3,303518.24701,3,3,5,20966709.993,0.8487979858264256
168,67,4,1,0,6,3,303518.24701,3,3,5,20967745.591,0.8487979858264256
169,67,4,1,0,6,3,303518.24701,3,3,5,20966709.993,0.8487979858264256
170,35,4,1,2,3,1,75613.317676,2,3,4,261695.5258,33.33911430380813
171,35,4,1,2,3,1,78808.246592,2,3,4,326109.69954,32.74417114259198
172,35,4,1,2,3,1,76678.293981,2,3,4,261695.5258,33.440861176369594
173,35,4,1,2,3,1,76678.293981,2,3,4,267909.11169,33.812345977469676
174,35,4,1,2,3,1,76678.293981,2,3,4,319274.75506,32.078912704717666
178,60,2,1,1,5,1,25559.431327,3,2,2,17605.160026,57.35598328526913
179,60,2,1,1,5,1,25559.431327,3,2,2,17501.600261,57.35598328526913
190,46,2,1,2,3,1,56443.744181,4,1,4,45669.856303,16.32566977889395
191,46,2,1,2,3,1,56443.744181,4,1,4,46187.655127,16.32566977889395
192,46,2,1,2,3,1,56443.744181,4,1,4,46498.334422,16.32566977889395
193,46,2,1,2,3,1,56443.744181,4,1,4,46498.334422,16.32566977889395
194,46,2,1,2,3,1,56443.744181,4,1,4,47430.372306,16.32566977889395
210,66,3,1,0,5,2,74548.341371,3,1,5,2378301.7799,0.9178317974022427
211,66,3,1,0,5,2,74548.341371,3,1,5,2377421.5219,0.9178317974022427
212,66,3,1,0,5,2,74548.341371,3,1,5,2378457.1195,0.9178317974022427
213,66,3,1,0,5,2,74548.341371,3,1,5,2378457.1195,0.9178317974022427
214,66,3,1,0,5,2,74548.341371,3,1,5,2378446.7636,0.9178317974022427
236,34,3,1,1,3,4,34079.241769,4,3,3,62498.318093,25.126989205736134
237,34,3,1,1,3,4,40469.099601,4,3,3,55042.015023,27.493947042434957
238,34,3,1,1,3,4,39404.123296,4,3,3,60178.57936,29.962410824407723
250,78,3,1,0,6,3,64963.554623,2,3,5,1442587.5245,0.563248345560396
251,78,3,1,0,6,3,64963.554623,2,3,5,1189901.6982,0.5685573630138789
252,78,3,1,0,6,3,66028.530928,2,3,5,1307959.8302,0.566215806424789
253,78,3,1,0,6,3,66028.530928,2,3,5,1288283.4749,0.5577600835399376
254,78,3,1,0,6,3,66028.530928,2,3,5,1465370.6728,0.5527315908973445
290,71,3,1,0,5,2,4781743.6108,3,3,5,224764042.46,0.5398647823689394
291,71,3,1,0,5,2,5473978.2092,3,3,5,108408433.05,0.4858045358249471
