Age,Sex,Job,Housing,SavingAccounts,CheckingAccount,CreditAmount,Duration,Purpose,Risk
67,male,2,own,NA,little,1169,6,radio/TV,good
22,female,2,own,little,moderate,5951,48,radio/TV,bad
49,male,1,own,little,NA,2096,12,education,good
45,male,2,free,little,little,7882,42,furniture/equipment,good
53,male,2,free,little,little,4870,24,car,bad
35,male,1,free,NA,NA,9055,36,education,good
53,male,2,own,quite rich,NA,2835,24,furniture/equipment,good
35,male,3,rent,little,moderate,6948,36,car,good
61,male,1,own,rich,NA,3059,12,radio/TV,good
28,male,3,own,little,moderate,5234,30,car,bad
25,female,2,rent,little,moderate,1295,12,car,bad
24,female,2,rent,little,little,4308,48,business,bad
22,female,2,own,little,moderate,1567,12,radio/TV,good
60,male,1,own,little,little,1199,24,car,bad
28,female,2,rent,little,little,1403,15,car,good
32,female,1,own,moderate,little,1282,24,radio/TV,bad
53,male,2,own,NA,NA,2424,24,radio/TV,good
25,male,2,own,NA,little,8072,30,business,good
44,female,3,free,little,moderate,12579,24,car,bad
31,male,2,own,quite rich,NA,3430,24,radio/TV,good
48,male,2,own,little,NA,2134,9,car,good
44,male,2,rent,quite rich,little,2647,6,radio/TV,good
48,male,1,rent,little,little,2241,10,car,good
44,male,2,own,moderate,moderate,1804,12,car,good
26,male,2,own,NA,NA,2069,10,furniture/equipment,good
36,male,1,own,little,little,1374,6,furniture/equipment,good
39,male,1,own,little,NA,426,6,radio/TV,good
42,female,2,rent,rich,rich,409,12,radio/TV,good
34,male,2,own,little,moderate,2415,7,radio/TV,good
63,male,2,own,little,little,6836,60,business,bad
36,male,2,own,rich,moderate,1913,18,business,good
27,male,2,own,little,little,4020,24,furniture/equipment,good
30,male,2,own,moderate,moderate,5866,18,car,good
57,male,1,rent,NA,NA,1264,12,business,good
33,female,3,own,little,rich,1474,12,furniture/equipment,good
25,male,1,own,little,moderate,4746,45,radio/TV,bad
31,male,2,free,little,NA,6110,48,education,good
37,male,2,own,little,rich,2100,18,radio/TV,bad
37,male,2,own,little,rich,1225,10,domestic appliances,good
24,male,2,own,little,moderate,458,9,radio/TV,good
30,male,3,own,quite rich,NA,2333,30,radio/TV,good
26,male,2,own,quite rich,moderate,1158,12,radio/TV,good
44,male,1,own,little,moderate,6204,18,repairs,good
24,male,2,rent,moderate,little,6187,30,car,good
58,female,1,free,little,little,6143,48,car,bad
35,female,3,own,little,NA,1393,11,car,good
39,male,2,own,quite rich,NA,2299,36,radio/TV,good
23,female,0,rent,quite rich,little,1352,6,car,good
39,male,1,own,little,NA,7228,11,car,good
28,female,2,own,moderate,NA,2073,12,radio/TV,good
29,male,1,own,NA,moderate,2333,24,furniture/equipment,good
30,male,3,own,little,moderate,5965,27,car,good
25,male,2,own,little,NA,1262,12,radio/TV,good
31,male,2,own,NA,NA,3378,18,car,good
57,male,2,free,little,moderate,2225,36,car,bad
26,male,1,own,NA,NA,783,6,car,good
52,male,3,own,NA,moderate,6468,12,radio/TV,bad
31,female,2,own,little,NA,9566,36,radio/TV,good
23,female,3,own,little,rich,1961,18,car,good
23,female,1,rent,little,little,6229,36,furniture/equipment,bad
27,male,2,own,little,moderate,1391,9,business,good
50,male,2,own,NA,moderate,1537,15,radio/TV,good
61,male,3,free,little,moderate,1953,36,business,bad
25,male,2,own,little,moderate,14421,48,business,bad
26,female,2,own,little,NA,3181,24,radio/TV,good
48,male,2,own,NA,NA,5190,27,repairs,good
29,female,2,own,little,NA,2171,12,radio/TV,good
22,male,2,own,rich,moderate,1007,12,car,good
37,male,2,free,little,NA,1819,36,education,bad
25,female,2,own,NA,NA,2394,36,radio/TV,good
30,female,2,own,little,NA,8133,36,car,good
46,male,1,rent,NA,NA,730,7,radio/TV,good
51,male,3,free,little,little,1164,8,vacation/others,good
41,female,1,own,little,moderate,5954,42,business,good
40,male,3,own,NA,little,1977,36,education,bad
66,male,3,free,little,little,1526,12,car,good
34,male,2,own,little,little,3965,42,radio/TV,bad
51,male,2,own,little,moderate,4771,11,radio/TV,good
39,male,1,own,NA,NA,9436,54,car,good
22,male,2,own,little,moderate,3832,30,furniture/equipment,good
44,female,2,own,NA,NA,5943,24,radio/TV,bad
47,male,2,own,quite rich,NA,1213,15,radio/TV,good
24,female,1,rent,moderate,NA,1568,18,business,good
58,female,1,own,little,little,1755,24,vacation/others,good
52,male,1,own,little,little,2315,10,radio/TV,good
29,female,3,own,little,NA,1412,12,business,good
27,female,2,own,little,moderate,1295,18,furniture/equipment,good
47,male,2,free,moderate,moderate,12612,36,education,bad
30,male,3,own,moderate,little,2249,18,car,good
28,male,2,own,little,little,1108,12,repairs,bad
56,male,2,own,little,NA,618,12,radio/TV,good
54,male,2,own,little,little,1409,12,car,good
33,female,1,own,NA,NA,797,12,radio/TV,bad
20,male,2,rent,NA,rich,3617,24,furniture/equipment,good
54,male,2,own,rich,moderate,1318,12,car,good
58,male,2,rent,little,moderate,15945,54,business,bad
61,female,2,own,NA,NA,2012,12,education,good
34,male,2,own,moderate,moderate,2622,18,business,good
36,male,2,own,little,moderate,2337,36,radio/TV,good
36,male,3,rent,NA,moderate,7057,20,car,good
41,male,1,rent,moderate,NA,1469,24,car,good
24,male,2,rent,little,moderate,2323,36,radio/TV,good
24,female,2,own,little,NA,932,6,radio/TV,good
35,male,2,rent,little,moderate,1919,9,furniture/equipment,good
26,male,2,rent,NA,NA,2445,12,car,good
39,male,3,own,little,moderate,11938,24,vacation/others,bad
39,male,3,own,little,NA,6458,18,car,bad
32,male,2,own,little,moderate,6078,12,car,good
30,female,2,own,NA,little,7721,24,furniture/equipment,good
35,male,2,own,quite rich,moderate,1410,14,business,good
31,male,2,own,moderate,moderate,1449,6,business,good
23,female,2,rent,little,rich,392,15,education,good
28,male,1,rent,little,moderate,6260,18,car,good
25,female,2,own,little,NA,7855,36,car,bad
35,male,2,own,quite rich,little,1680,12,radio/TV,good
47,male,2,own,NA,NA,3578,48,radio/TV,good
30,female,3,own,NA,little,7174,42,radio/TV,bad
27,female,2,rent,NA,little,2132,10,furniture/equipment,good
23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad
36,male,3,own,quite rich,moderate,2366,12,car,good
25,female,2,own,little,little,1835,21,radio/TV,bad
41,female,3,rent,little,NA,3868,24,car,good
24,male,1,rent,little,NA,1768,12,furniture/equipment,good
63,male,2,free,little,rich,781,10,car,good
27,female,2,rent,NA,moderate,1924,18,furniture/equipment,bad
30,male,2,own,little,little,2121,12,car,good
40,male,1,own,little,little,701,12,radio/TV,good
30,male,2,own,little,moderate,639,12,repairs,bad
34,male,3,own,little,moderate,1860,12,car,good
29,female,2,own,little,little,3499,12,car,bad
24,female,2,own,NA,moderate,8487,48,car,good
29,male,2,own,little,little,6887,36,education,bad
27,male,1,own,little,NA,2708,15,furniture/equipment,good
47,male,2,free,little,NA,1984,18,furniture/equipment,good
21,female,2,own,moderate,NA,10144,60,radio/TV,good
38,female,2,own,NA,NA,1240,12,radio/TV,good
27,male,2,own,rich,NA,8613,27,car,good
66,male,1,own,quite rich,moderate,766,12,radio/TV,bad
35,male,2,own,NA,moderate,2728,15,radio/TV,good
44,female,1,rent,little,rich,1881,12,radio/TV,good
27,male,0,own,rich,rich,709,6,car,good
30,female,3,own,little,moderate,4795,36,radio/TV,good
27,male,3,own,little,little,3416,27,radio/TV,good
22,male,2,own,little,little,2462,18,furniture/equipment,bad
23,female,2,own,little,NA,2288,21,furniture/equipment,good
30,male,2,own,moderate,moderate,3566,48,business,good
39,female,2,own,little,little,860,6,car,good
51,female,2,own,moderate,NA,682,12,car,good
28,male,2,own,little,little,5371,36,furniture/equipment,good
46,male,2,own,rich,NA,1582,18,radio/TV,good
42,male,2,free,moderate,NA,1346,6,radio/TV,good
38,male,2,own,little,NA,1924,10,radio/TV,good
24,male,2,own,little,rich,5848,36,radio/TV,good
29,female,2,rent,rich,moderate,7758,24,car,good
36,male,3,rent,moderate,moderate,6967,24,business,good
20,female,2,rent,little,little,1282,12,furniture/equipment,bad
48,male,2,own,moderate,little,1288,9,repairs,good
45,male,1,own,little,little,339,12,education,good
38,male,2,own,moderate,moderate,3512,24,car,good
34,male,1,own,NA,NA,1898,6,radio/TV,good
36,male,2,own,moderate,NA,2872,24,radio/TV,good
30,female,2,own,little,NA,1055,18,car,good
36,male,2,own,quite rich,NA,1262,15,domestic appliances,good
70,male,3,free,little,moderate,7308,10,car,good
36,male,2,own,quite rich,NA,909,36,car,good
32,male,2,own,quite rich,NA,2978,6,furniture/equipment,good
33,female,2,own,little,little,1131,18,furniture/equipment,bad
20,female,2,own,rich,moderate,1577,11,furniture/equipment,good
25,female,2,rent,little,NA,3972,24,furniture/equipment,good
31,male,2,own,little,moderate,1935,24,business,bad
33,male,2,rent,little,little,950,15,car,bad
26,female,2,own,little,NA,763,12,furniture/equipment,good
34,female,3,own,little,moderate,2064,24,furniture/equipment,bad
33,male,2,own,little,moderate,1414,8,radio/TV,good
26,male,2,own,little,little,3414,21,education,bad
53,female,3,own,NA,NA,7485,30,car,bad
42,male,2,own,little,little,2577,12,furniture/equipment,good
52,male,2,own,quite rich,little,338,6,radio/TV,good
31,male,3,rent,little,NA,1963,12,radio/TV,good
65,male,2,own,little,little,571,21,car,good
28,male,2,own,little,NA,9572,36,business,bad
30,male,3,own,little,moderate,4455,36,business,bad
40,male,1,own,NA,little,1647,21,car,bad
50,male,2,own,rich,NA,3777,24,furniture/equipment,good
36,male,2,own,little,moderate,884,18,car,bad
31,male,2,own,little,NA,1360,15,radio/TV,good
74,female,3,free,little,moderate,5129,9,car,bad
68,male,0,free,little,moderate,1175,16,car,good
20,male,2,own,moderate,little,674,12,radio/TV,bad
33,female,2,own,little,moderate,3244,18,furniture/equipment,good
54,male,3,own,rich,NA,4591,24,business,bad
34,male,1,free,moderate,moderate,3844,48,business,bad
36,male,2,own,little,moderate,3915,27,business,bad
29,male,2,rent,little,NA,2108,6,radio/TV,good
21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad
34,female,3,own,little,moderate,1501,9,education,bad
28,female,2,own,little,NA,1382,6,radio/TV,good
