DATE,SWAP1,SWAP2,SWAP3,SWAP4,SWAP5,SWAP7,SWAP10,SWAP30
2000-07-03,7.1,7.16,7.17,7.17,7.17,7.2,7.24,7.24
2000-07-05,7.03,7.06,7.07,7.07,7.08,7.11,7.14,7.16
2000-07-06,7.07,7.13,7.14,7.15,7.16,7.19,7.21,7.21
2000-07-07,7.01,7.04,7.06,7.06,7.07,7.1,7.14,7.14
2000-07-10,7.04,7.09,7.11,7.13,7.14,7.17,7.2,7.19
2000-07-11,7.04,7.1,7.11,7.13,7.14,7.18,7.22,7.2
2000-07-12,7.06,7.12,7.14,7.15,7.17,7.2,7.23,7.19
2000-07-13,7.04,7.09,7.1,7.12,7.13,7.16,7.19,7.13
2000-07-14,7.08,7.14,7.16,7.17,7.19,7.21,7.23,7.17
2000-07-17,7.12,7.21,7.23,7.25,7.28,7.31,7.35,7.28
2000-07-18,7.12,7.21,7.23,7.25,7.28,7.31,7.35,7.29
2000-07-19,7.13,7.22,7.25,7.27,7.29,7.32,7.36,7.3
2000-07-20,7.07,7.14,7.16,7.18,7.21,7.24,7.29,7.23
2000-07-21,7.03,7.09,7.11,7.12,7.14,7.18,7.21,7.16
2000-07-24,7.04,7.12,7.14,7.16,7.17,7.2,7.24,7.19
2000-07-25,7.03,7.1,7.11,7.13,7.15,7.18,7.23,7.17
2000-07-26,7.02,7.08,7.1,7.11,7.13,7.17,7.21,7.17
2000-07-27,7.01,7.07,7.09,7.1,7.11,7.15,7.2,7.15
2000-07-28,7.03,7.09,7.11,7.13,7.15,7.19,7.23,7.19
2000-07-31,7.06,7.12,7.14,7.16,7.18,7.22,7.26,7.21
2000-08-01,7.04,7.08,7.1,7.12,7.14,7.18,7.23,7.17
2000-08-02,7.02,7.06,7.08,7.1,7.12,7.16,7.2,7.18
2000-08-03,6.98,7.02,7.04,7.05,7.07,7.11,7.16,7.13
2000-08-04,6.94,6.97,6.98,7.0,7.02,7.06,7.11,7.09
2000-08-07,6.94,6.97,6.98,7.0,7.03,7.06,7.09,7.06
2000-08-08,6.94,6.97,6.99,7.01,7.03,7.06,7.09,7.07
2000-08-09,6.93,6.96,6.97,7.0,7.02,7.05,7.09,7.07
2000-08-10,6.9,6.92,6.94,6.96,6.98,7.01,7.06,7.05
2000-08-11,6.92,6.94,6.95,6.95,6.97,6.99,7.02,7.0
2000-08-14,6.96,7.0,7.02,7.04,7.05,7.07,7.09,7.05
2000-08-15,6.96,6.99,7.0,7.01,7.03,7.04,7.06,7.02
2000-08-16,6.96,7.01,7.02,7.03,7.04,7.06,7.08,7.04
2000-08-17,6.97,7.01,7.02,7.03,7.04,7.06,7.09,7.05
2000-08-18,6.96,7.01,7.02,7.03,7.04,7.07,7.08,7.06
2000-08-21,6.95,6.98,6.99,7.0,7.02,7.04,7.07,7.05
2000-08-22,6.95,6.98,6.99,7.01,7.03,7.05,7.08,7.06
2000-08-23,6.93,6.95,6.95,6.95,6.96,6.98,7.01,7.0
2000-08-24,6.91,6.93,6.93,6.94,6.94,6.96,6.99,6.98
2000-08-25,6.9,6.91,6.92,6.92,6.92,6.94,6.97,6.96
2000-08-28,6.92,6.94,6.94,6.94,6.94,6.96,6.99,6.99
2000-08-29,6.93,6.97,6.97,6.98,6.99,7.02,7.06,7.05
2000-08-30,6.94,6.99,7.0,7.01,7.03,7.06,7.09,7.08
2000-08-31,6.91,6.93,6.94,6.95,6.96,6.99,7.03,7.03
2000-09-01,6.84,6.85,6.85,6.86,6.87,6.91,6.96,6.97
2000-09-05,6.83,6.83,6.83,6.84,6.85,6.88,6.93,6.94
2000-09-06,6.85,6.86,6.86,6.87,6.88,6.92,6.97,6.99
2000-09-07,6.84,6.85,6.86,6.87,6.89,6.93,6.99,7.0
2000-09-08,6.84,6.85,6.86,6.88,6.91,6.95,7.02,7.02
2000-09-11,6.85,6.87,6.88,6.91,6.93,6.98,7.04,7.03
2000-09-12,6.84,6.86,6.88,6.9,6.93,6.98,7.05,7.06
2000-09-13,6.82,6.82,6.83,6.85,6.87,6.93,6.99,7.03
2000-09-14,6.81,6.8,6.8,6.82,6.84,6.9,6.96,7.02
2000-09-15,6.79,6.78,6.79,6.82,6.86,6.94,7.03,7.11
2000-09-18,6.77,6.76,6.77,6.81,6.86,6.95,7.05,7.11
2000-09-19,6.77,6.75,6.77,6.81,6.85,6.94,7.04,7.12
2000-09-20,6.77,6.75,6.77,6.81,6.85,6.94,7.04,7.12
2000-09-21,6.78,6.79,6.82,6.86,6.91,6.99,7.07,7.13
2000-09-22,6.74,6.73,6.76,6.8,6.84,6.92,7.0,7.08
2000-09-25,6.78,6.78,6.8,6.82,6.86,6.93,7.0,7.04
2000-09-26,6.78,6.76,6.78,6.81,6.84,6.91,6.98,7.02
2000-09-27,6.77,6.75,6.77,6.8,6.83,6.89,6.96,7.02
2000-09-28,6.78,6.74,6.75,6.78,6.81,6.88,6.95,7.02
2000-09-29,6.75,6.69,6.7,6.72,6.75,6.81,6.89,6.97
2000-10-02,6.77,6.71,6.71,6.74,6.77,6.85,6.93,7.02
2000-10-03,6.75,6.68,6.69,6.72,6.75,6.82,6.9,6.99
2000-10-04,6.78,6.74,6.75,6.78,6.81,6.88,6.96,7.02
2000-10-05,6.78,6.75,6.77,6.81,6.85,6.92,7.01,7.05
2000-10-06,6.79,6.76,6.78,6.81,6.85,6.92,7.01,7.04
2000-10-10,6.78,6.76,6.78,6.81,6.85,6.92,7.0,7.05
2000-10-11,6.74,6.69,6.71,6.75,6.79,6.87,6.97,7.04
2000-10-12,6.71,6.66,6.68,6.72,6.76,6.84,6.95,7.03
2000-10-13,6.68,6.63,6.65,6.7,6.74,6.83,6.93,7.01
2000-10-16,6.69,6.65,6.67,6.7,6.74,6.82,6.92,7.0
2000-10-17,6.68,6.63,6.65,6.68,6.72,6.79,6.89,6.97
2000-10-18,6.63,6.57,6.58,6.62,6.66,6.75,6.86,6.96
2000-10-19,6.64,6.57,6.59,6.61,6.65,6.71,6.8,6.88
